level,groupName,intentCluster,actionType,suggestedDelta,roas,cost,intentConfidence,sourceIntent,rationale,evidenceTopK,currencyCode,dateStart,dateEnd
Portfolio,,Mixed,Reallocate Budget,0.0,3.403,1649.58,,Aggregate,"Move $1,650 from 5 low-ROAS groups to 3 high-ROAS groups (expected lift â‰ˆ $4,446).",From: US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147 (-$835) ; US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132 (-$592) ; US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611115612~12974057156 (-$100) ; CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests (BREEZE25) / 6611115579~12964607328 (-$63) ; CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only - Interests / 6561576731~12413810730 (-$59) | To: US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611163976~12964607331 (+$550) ; US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / 6506889828~11796932872 (+$550) ; US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - No Interests / 6506892143~11796932869 (+$550),CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / 6507862840~11806724758,Comparison,Split/Refactor,0.0,2.42,7828.82,0.345,CAMP_TERM_INSIGHTS,"Evidence suggests Unclassified intent; test a dedicated Unclassified asset group + creatives. Momentum: ROAS -54% WoW, Cost -19%. Journey: Consideration.",cooling mattress topper | best cooling mattress topper | sleep snug reviews | sleep number cooling mattress topper | dormeo topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / 6506889828~11796932872,Comparison,Split/Refactor,0.0,3.209,7771.37,0.355,CAMP_TERM_INSIGHTS,"Evidence suggests Unclassified intent; test a dedicated Unclassified asset group + creatives. Momentum: ROAS -42% WoW, Cost -7%. Journey: Consideration.",cooling mattress topper | best cooling mattress topper | sleep snug reviews | sleep number cooling mattress topper | dormeo topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - No Interests / 6506892143~11796932869,Comparison,Split/Refactor,0.0,2.927,7337.64,0.355,CAMP_TERM_INSIGHTS,"Evidence suggests Unclassified intent; test a dedicated Unclassified asset group + creatives. Momentum: ROAS -40% WoW, Cost -11%. Journey: Consideration.",cooling mattress topper | best cooling mattress topper | sleep snug reviews | sleep number cooling mattress topper | dormeo topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611163976~12964607331,Comparison,Split/Refactor,0.0,4.072,421.0,0.245,CAMP_TERM_INSIGHTS,"Evidence suggests Unclassified intent; test a dedicated Unclassified asset group + creatives. Momentum: ROAS +100% WoW, Cost +100%. Journey: Consideration.",cooling mattress topper | best cooling mattress topper | sleep snug reviews | tempur pedic active breeze review | sleep number cooling mattress topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611115612~12974057156,Comparison,Split/Refactor,0.0,0.0,176.78,0.372,CAMP_TERM_INSIGHTS,"Evidence suggests Comparison intent; test a dedicated Comparison asset group + creatives. Momentum: ROAS +0% WoW, Cost +100%. Journey: Consideration.",perfectly snug smart topper | cooling mattress topper | perfectly snug reviews | perfectly snug mattress topper | massage mattress topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / 6482133486~11290280147,Comparison,Increase,0.15,1.95,8352.55,0.474,CAMP_TERM_INSIGHTS,"High ROAS with strong intent signal. Data-driven delta applied. Competitive threat detected (17%). Momentum: ROAS -29% WoW, Cost -24%. Journey: Consideration.",perfectly snug smart topper | cooling mattress topper | perfectly snug reviews | perfectly snug mattress topper | massage mattress topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / 6507837599~11798192132,Comparison,Increase,0.15,1.587,5923.23,0.468,CAMP_TERM_INSIGHTS,"High ROAS with strong intent signal. Data-driven delta applied. Competitive threat detected (17%). Momentum: ROAS -31% WoW, Cost -49%. Journey: Consideration.",perfectly snug smart topper | cooling mattress topper | perfectly snug reviews | perfectly snug mattress topper | massage mattress topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / 6477743034~11194181073,Comparison,Increase,0.15,2.701,5083.11,0.47,CAMP_TERM_INSIGHTS,"High ROAS with strong intent signal. Data-driven delta applied. Competitive threat detected (17%). Momentum: ROAS +32% WoW, Cost -56%. Journey: Consideration.",perfectly snug smart topper | cooling mattress topper | perfectly snug reviews | perfectly snug mattress topper | massage mattress topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,3.956,1497.03,,CREATIVE,"Fatigued asset: CTR -20%, CVR -38% vs prev window. Label=UNKNOWN.",Cooling Mattress Topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only - Interests / (creative),Mixed,Refresh Creative,0.0,3.956,1497.03,,CREATIVE,"Fatigued asset: CTR -20%, CVR -38% vs prev window. Label=UNKNOWN. High volume; prioritize refresh.",Cooling Mattress Topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,307.48,,CREATIVE,"Fatigued asset: CTR -29%, CVR -100% vs prev window. Label=UNKNOWN.",Temper night sweats with gentle airflow to aid in keeping you cool and dry,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed Only / (creative),Mixed,Refresh Creative,0.0,0.0,307.48,,CREATIVE,"Fatigued asset: CTR -29%, CVR -100% vs prev window. Label=UNKNOWN. High volume; prioritize refresh.",Temper night sweats with gentle airflow to aid in keeping you cool and dry,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,155.8,,CREATIVE,"Fatigued asset: CTR -71%, CVR -100% vs prev window. Label=UNKNOWN.",Temper night sweats with gentle airflow to aid in keeping you cool and dry,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only / (creative),Mixed,Refresh Creative,0.0,0.0,155.8,,CREATIVE,"Fatigued asset: CTR -71%, CVR -100% vs prev window. Label=UNKNOWN. High volume; prioritize refresh.",Temper night sweats with gentle airflow to aid in keeping you cool and dry,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,22.0,,CREATIVE,"Fatigued asset: CTR +100%, CVR +0% vs prev window. Label=LOW.",,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,4.46,,CREATIVE,"Fatigued asset: CTR +100%, CVR +0% vs prev window. Label=LOW.",,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,26.89,,CREATIVE,"Fatigued asset: CTR +45%, CVR +0% vs prev window. Label=LOW.",,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,3.333,13594.92,,CREATIVE,"Fatigued asset: CTR -22%, CVR -42% vs prev window. Label=UNKNOWN.",Perfectly Snug,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,3.333,13594.92,,CREATIVE,"Fatigued asset: CTR -22%, CVR -42% vs prev window. Label=UNKNOWN. High volume; prioritize refresh.",Perfectly Snug,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,4.163,10849.46,,CREATIVE,"Fatigued asset: CTR -31%, CVR -63% vs prev window. Label=UNKNOWN.",Perfectly Snug,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,4.163,10849.46,,CREATIVE,"Fatigued asset: CTR -31%, CVR -63% vs prev window. Label=UNKNOWN. High volume; prioritize refresh.",Perfectly Snug,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,2.379,1518.16,,CREATIVE,"Fatigued asset: CTR -6%, CVR -64% vs prev window. Label=LOW.",Best Cooling Mattress Topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,2.379,1518.16,,CREATIVE,"Fatigued asset: CTR -6%, CVR -64% vs prev window. Label=LOW. High volume; prioritize refresh.",Best Cooling Mattress Topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.742,4279.76,,CREATIVE,"Fatigued asset: CTR -71%, CVR +100% vs prev window. Label=LOW.",Better Sleep. Better Life.,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,0.742,4279.76,,CREATIVE,"Fatigued asset: CTR -71%, CVR +100% vs prev window. Label=LOW. High volume; prioritize refresh.",Better Sleep. Better Life.,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,1.145,2270.12,,CREATIVE,"Fatigued asset: CTR -50%, CVR -96% vs prev window. Label=LOW.",Better Sleep. Better Life.,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,1.145,2270.12,,CREATIVE,"Fatigued asset: CTR -50%, CVR -96% vs prev window. Label=LOW. High volume; prioritize refresh.",Better Sleep. Better Life.,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,2.818,1504.51,,CREATIVE,"Fatigued asset: CTR -1%, CVR +100% vs prev window. Label=LOW.",Better Sleep. Better Life.,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,2.818,1504.51,,CREATIVE,"Fatigued asset: CTR -1%, CVR +100% vs prev window. Label=LOW. High volume; prioritize refresh.",Better Sleep. Better Life.,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,110.22,,CREATIVE,"Fatigued asset: CTR +100%, CVR +0% vs prev window. Label=LOW.",Better Sleep. Better Life.,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / (creative),Mixed,Refresh Creative,0.0,0.0,110.22,,CREATIVE,"Fatigued asset: CTR +100%, CVR +0% vs prev window. Label=LOW. High volume; prioritize refresh.",Better Sleep. Better Life.,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,13.76,,CREATIVE,"Fatigued asset: CTR +100%, CVR +0% vs prev window. Label=LOW.",Better Sleep. Better Life.,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,1.663,4561.84,,CREATIVE,"Fatigued asset: CTR -19%, CVR -70% vs prev window. Label=LOW.",The World's First Smart Topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,1.663,4561.84,,CREATIVE,"Fatigued asset: CTR -19%, CVR -70% vs prev window. Label=LOW. High volume; prioritize refresh.",The World's First Smart Topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,20.68,,CREATIVE,"Fatigued asset: CTR +100%, CVR +0% vs prev window. Label=LOW.",The World's First Smart Topper,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,874.56,,CREATIVE,"Fatigued asset: CTR +70%, CVR -100% vs prev window. Label=LOW.",Read Our Customer Reviews,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,178.14,,CREATIVE,"Fatigued asset: CTR +22%, CVR -100% vs prev window. Label=LOW.",Read Our Customer Reviews,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,0.0,178.14,,CREATIVE,"Fatigued asset: CTR +22%, CVR -100% vs prev window. Label=LOW. High volume; prioritize refresh.",Read Our Customer Reviews,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,9.359,800.45,,CREATIVE,"Fatigued asset: CTR +2%, CVR +100% vs prev window. Label=LOW.",Read Our Customer Reviews,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.448,2486.29,,CREATIVE,"Fatigued asset: CTR +13%, CVR -86% vs prev window. Label=LOW.",See Why They Rate Us 4.9/5,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,0.448,2486.29,,CREATIVE,"Fatigued asset: CTR +13%, CVR -86% vs prev window. Label=LOW. High volume; prioritize refresh.",See Why They Rate Us 4.9/5,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,838.72,,CREATIVE,"Fatigued asset: CTR -16%, CVR -100% vs prev window. Label=LOW.",See Why They Rate Us 4.9/5,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,0.0,838.72,,CREATIVE,"Fatigued asset: CTR -16%, CVR -100% vs prev window. Label=LOW. High volume; prioritize refresh.",See Why They Rate Us 4.9/5,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,4.723,1576.83,,CREATIVE,"Fatigued asset: CTR -9%, CVR +337% vs prev window. Label=LOW.",See Why They Rate Us 4.9/5,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,4.723,1576.83,,CREATIVE,"Fatigued asset: CTR -9%, CVR +337% vs prev window. Label=LOW. High volume; prioritize refresh.",See Why They Rate Us 4.9/5,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,3.05,,CREATIVE,"Fatigued asset: CTR +100%, CVR +0% vs prev window. Label=LOW.",See Why They Rate Us 4.9/5,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,3.932,784.98,,CREATIVE,"Fatigued asset: CTR -43%, CVR -23% vs prev window. Label=UNKNOWN.",Read our satisfied customer reviews. Join our family of well-rested customers. Shop today!,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed Only - Interests / (creative),Mixed,Refresh Creative,0.0,3.932,784.98,,CREATIVE,"Fatigued asset: CTR -43%, CVR -23% vs prev window. Label=UNKNOWN. High volume; prioritize refresh.",Read our satisfied customer reviews. Join our family of well-rested customers. Shop today!,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only / (creative),Mixed,Pause Fatigued Asset,0.0,3.082,1188.36,,CREATIVE,"Fatigued asset: CTR -65%, CVR -54% vs prev window. Label=UNKNOWN.",Read our satisfied customer reviews. Join our family of well-rested customers. Shop today!,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed Only / (creative),Mixed,Refresh Creative,0.0,3.082,1188.36,,CREATIVE,"Fatigued asset: CTR -65%, CVR -54% vs prev window. Label=UNKNOWN. High volume; prioritize refresh.",Read our satisfied customer reviews. Join our family of well-rested customers. Shop today!,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,20.41,,CREATIVE,"Fatigued asset: CTR +95%, CVR +0% vs prev window. Label=LOW.",,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,198.54,,CREATIVE,"Fatigued asset: CTR -2%, CVR +0% vs prev window. Label=LOW.",Dual Zone Controls,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,0.0,198.54,,CREATIVE,"Fatigued asset: CTR -2%, CVR +0% vs prev window. Label=LOW. High volume; prioritize refresh.",Dual Zone Controls,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,399.63,,CREATIVE,"Fatigued asset: CTR -3%, CVR -100% vs prev window. Label=LOW.",Dual Zone Controls,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,0.0,128.95,,CREATIVE,"Fatigued asset: CTR +30%, CVR -100% vs prev window. Label=LOW. High volume; prioritize refresh.",,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,0.0,261.36,,CREATIVE,"Fatigued asset: CTR +12%, CVR +0% vs prev window. Label=LOW. High volume; prioritize refresh.",,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,1083.2,,CREATIVE,"Fatigued asset: CTR -62%, CVR -100% vs prev window. Label=LOW.",Optimize Your Sleep,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,0.0,1083.2,,CREATIVE,"Fatigued asset: CTR -62%, CVR -100% vs prev window. Label=LOW. High volume; prioritize refresh.",Optimize Your Sleep,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,367.36,,CREATIVE,"Fatigued asset: CTR -24%, CVR -100% vs prev window. Label=LOW.",Optimize Your Sleep,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,0.0,367.36,,CREATIVE,"Fatigued asset: CTR -24%, CVR -100% vs prev window. Label=LOW. High volume; prioritize refresh.",Optimize Your Sleep,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,1.597,1004.72,,CREATIVE,"Fatigued asset: CTR -49%, CVR -84% vs prev window. Label=LOW.",Optimize Your Sleep,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,14.93,,CREATIVE,"Fatigued asset: CTR +100%, CVR +0% vs prev window. Label=LOW.",Optimize Your Sleep,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,0.0,225.71,,CREATIVE,"Fatigued asset: CTR -77%, CVR -100% vs prev window. Label=BEST.",Greatly Improve Your Sleep Quality By Optimizing Your Sleep With Our Sleep Technology.,CAD,2025-07-02,2025-09-29
Group,US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,0.0,225.71,,CREATIVE,"Fatigued asset: CTR -77%, CVR -100% vs prev window. Label=BEST. High volume; prioritize refresh.",Greatly Improve Your Sleep Quality By Optimizing Your Sleep With Our Sleep Technology.,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / (creative),Mixed,Pause Fatigued Asset,0.0,1.319,1820.79,,CREATIVE,"Fatigued asset: CTR -46%, CVR -92% vs prev window. Label=LOW.",Greatly Improve Your Sleep Quality By Optimizing Your Sleep With Our Sleep Technology.,CAD,2025-07-02,2025-09-29
Group,CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests / (creative),Mixed,Refresh Creative,0.0,1.319,1820.79,,CREATIVE,"Fatigued asset: CTR -46%, CVR -92% vs prev window. Label=LOW. High volume; prioritize refresh.",Greatly Improve Your Sleep Quality By Optimizing Your Sleep With Our Sleep Technology.,CAD,2025-07-02,2025-09-29
