Month (YYYY-MM),Brand Clicks,Brand Cost ($),Brand Conversions,Brand Conv. value ($),Brand ROAS,NonBrand Clicks,NonBrand Cost ($),NonBrand Conversions,NonBrand Conv. value ($),NonBrand ROAS,Total Clicks,Total Cost ($),Total Conversions,Total Conv. value ($),Total ROAS
2024-10,443,$538.54,14.062535,"$24,911.45",46.26,3592,"$19,500.39",16.12371,"$33,643.31",1.73,4035,"$20,038.93",30.186245,"$58,554.76",2.92
2024-11,407,$817.43,12.036198,"$20,068.75",24.55,3020,"$15,002.49",14.153157,"$31,816.55",2.12,3427,"$15,819.92",26.189355,"$51,885.30",3.28
2024-12,406,"$2,182.24",12.970527,"$26,105.63",11.96,1795,"$9,497.97",11.125817,"$25,617.15",2.70,2201,"$11,680.21",24.096344,"$51,722.77",4.43
2025-01,404,"$1,729.06",10.086207,"$24,481.54",14.16,1893,"$9,014.40",11.602769,"$27,161.61",3.01,2297,"$10,743.46",21.688976,"$51,643.15",4.81
2025-02,626,"$2,987.53",13.429003,"$30,405.02",10.18,2735,"$16,320.02",17.837357,"$44,919.16",2.75,3361,"$19,307.55",31.26636,"$75,324.18",3.90
2025-03,833,"$2,987.41",12,"$32,464.82",10.87,2991,"$17,837.32",11.114662,"$25,747.51",1.44,3824,"$20,824.72",23.114662,"$58,212.33",2.80
2025-04,1011,"$3,930.01",30.701908,"$70,307.44",17.89,3346,"$20,599.57",38.606498,"$92,026.19",4.47,4357,"$24,529.58",69.308406,"$162,333.64",6.62
2025-05,1213,"$4,912.35",31.085969,"$70,503.01",14.35,5268,"$28,719.68",43.019284,"$99,819.67",3.48,6481,"$33,632.03",74.105253,"$170,322.68",5.06
2025-06,1525,"$5,070.95",52.059562,"$111,969.94",22.08,5090,"$28,926.63",47.131465,"$104,440.36",3.61,6615,"$33,997.58",99.191027,"$216,410.30",6.37
2025-07,1900,"$5,715.95",59.152388,"$137,630.84",24.08,6561,"$39,709.07",68.972053,"$160,585.13",4.04,8461,"$45,425.02",128.124441,"$298,215.97",6.57
2025-08,2290,"$8,436.27",66.246659,"$149,826.27",17.76,7109,"$46,219.34",75.319818,"$169,895.72",3.68,9399,"$54,655.60",141.566477,"$319,721.99",5.85
2025-09,1381,"$5,792.07",28.619611,"$61,584.85",10.63,4520,"$32,929.66",33.852903,"$76,195.92",2.31,5901,"$38,721.73",62.472514,"$137,780.77",3.56